keys,en,es,pt_BR,fr,de,it,ru,uk,pl,tr,nl,ar,he,hi,id,vi,th,ja,ko,zh,zh_TW
RULE_SEE_CHANGE,FIND THE CHANGED SHAPE,ENCUENTRA LA FORMA QUE CAMBIÓ,ENCONTRE A FORMA QUE MUDOU,TROUVEZ LA FORME QUI A CHANGÉ,FINDEN SIE DIE VERÄNDERTE FORM,TROVA LA FORMA CAMBIATA,НАЙДИ ИЗМЕНИВШУЮСЯ ФОРМУ,ЗНАЙДИ ФОРМУ ЯКА ЗМІНИЛАСЯ,ZNAJDŹ ZMIENIONY KSZTAŁT,DEĞİŞEN ŞEKLİ BUL,VIND DE VERANDERDE VORM,اعثر على الشكل الذي تغيّر,מצא את הצורה שהשתנתה,बदली हुई आकृति खोजें,TEMUKAN BENTUK YANG BERUBAH,TÌM HÌNH ĐÃ THAY ĐỔI,หารูปทรงที่เปลี่ยน,変わった形を見つけて,바뀐 모양 찾기,找到改变的形状,找出改變的形狀
RULE_REMEMBER_POS,REMEMBER THE ORIGINAL POSITION,RECUERDA LA POSICIÓN ORIGINAL,LEMBRE A POSIÇÃO ORIGINAL,MÉMORISEZ LA POSITION D'ORIGINE,MERKEN SIE DIE URSPRÜNGLICHE POSITION,RICORDA LA POSIZIONE ORIGINALE,ЗАПОМНИ ИСХОДНУЮ ПОЗИЦИЮ,ЗАПАМ'ЯТАЙ ПОЧАТКОВУ ПОЗИЦІЮ,ZAPAMIĘTAJ PIERWOTNĄ POZYCJĘ,İLK KONUMU HATIRLA,ONTHOUD DE OORSPRONKELIJKE POSITIE,تذكّر الموضع الأصلي,זכור את המיקום המקורי,मूल स्थिति याद रखें,INGAT POSISI AWAL,GHI NHỚ VỊ TRÍ BAN ĐẦU,จำตำแหน่งเดิม,元の位置を覚えて,원래 위치 기억하기,记住原始位置,記住原始位置
RULE_SEQUENCE,REPEAT THE SEQUENCE,REPITE LA SECUENCIA,REPITA A SEQUÊNCIA,RÉPÉTEZ LA SÉQUENCE,WIEDERHOLEN SIE DIE REIHENFOLGE,RIPETI LA SEQUENZA,ПОВТОРИ ПОСЛЕДОВАТЕЛЬНОСТЬ,ПОВТОРИ ПОСЛІДОВНІСТЬ,POWTÓRZ SEKWENCJĘ,SIRAYI TEKRARLA,HERAAL DE REEKS,كرّر التسلسل,חזור על הרצף,क्रम दोहराएँ,ULANGI URUTANNYA,LẶP LẠI CHUỖI,ทำซ้ำลำดับ,順番を繰り返して,순서 반복하기,重复序列,重複序列
RULE_REVERSE,REPEAT IT IN REVERSE,REPÍTELO AL REVÉS,REPITA AO CONTRÁRIO,RÉPÉTEZ À L'ENVERS,WIEDERHOLEN SIE ES UMGEKEHRT,RIPETILO AL CONTRARIO,ПОВТОРИ В ОБРАТНОМ ПОРЯДКЕ,ПОВТОРИ У ЗВОРОТНОМУ ПОРЯДКУ,POWTÓRZ OD KOŃCA,TERSTEN TEKRARLA,HERHAAL HEM ACHTERSTEVOREN,كرّره بالعكس,חזור עליו בסדר הפוך,उल्टे क्रम में दोहराएँ,ULANGI TERBALIK,LẶP NGƯỢC LẠI,ทำย้อนกลับ,逆順で繰り返して,거꾸로 반복하기,反向重复,反向重複
RULE_COLOR,TAP THE CORRECT COLOR,TOCA EL COLOR CORRECTO,TOQUE A CORRETA COR,TOUCHEZ LA BONNE COULEUR,TIPPEN SIE DIE RICHTIGE FARBE,TOCCA IL COLORE CORRETTO,НАЖМИ ПРАВИЛЬНЫЙ ЦВЕТ,НАТИСНИ ПРАВИЛЬНИЙ КОЛІР,KLIKNIJ WŁAŚCIWY KOLOR,DOĞRU RENGE DOKUN,TIK DE JUISTE KLEUR,اضغط اللون الصحيح,לחץ על הצבע הנכון,सही रंग टैप करें,TEKAN WARNA YANG BENAR,CHẠM MÀU ĐÚNG,แตะสีที่ถูกต้อง,正しい色をタップ,올바른 색 누르기,点击正确颜色,點擊正確顏色
RULE_SECOND,IGNORE THE FIRST SIGNAL,IGNORA LA PRIMERA SEÑAL,IGNORE O PRIMEIRO SINAL,IGNOREZ LE PREMIER SIGNAL,IGNORIEREN SIE DAS ERSTE SIGNAL,IGNORA IL PRIMO SEGNALE,ИГНОРИРУЙ ПЕРВЫЙ СИГНАЛ,ІГНОРУЙ ПЕРШИЙ СИГНАЛ,ZIGNORUJ PIERWSZY SYGNAŁ,İLK SİNYALİ YOK SAY,NEGEER HET EERSTE SIGNAAL,تجاهل الإشارة الأولى,התעלם מהאות הראשון,पहले संकेत को अनदेखा करें,ABAIKAN SINYAL PERTAMA,BỎ QUA TÍN HIỆU ĐẦU,ไม่สนใจสัญญาณแรก,最初の合図を無視して,첫 신호 무시하기,忽略第一个信号,忽略第一個訊號
RULE_SWITCH,FIRST: TAP BLUE. THEN: TAP RED.,PRIMERO: TOCA AZUL. DESPUÉS: ROJO.,PRIMEIRO: TOQUE AZUL. DEPOIS: VERMELHO.,D'ABORD : BLEU. PUIS : ROUGE.,ZUERST: BLAU. DANN: ROT.,PRIMA: BLU. POI: ROSSO.,СНАЧАЛА: СИНИЙ. ПОТОМ: КРАСНЫЙ.,СПОЧАТКУ: СИНІЙ. ПОТІМ: ЧЕРВОНИЙ.,NAJPIERW: NIEBIESKI. POTEM: CZERWONY.,ÖNCE: MAVİ. SONRA: KIRMIZI.,EERST: BLAUW. DAN: ROOD.,أولًا: أزرق. ثم: أحمر.,קודם: כחול. ואז: אדום.,पहले: नीला। फिर: लाल।,PERTAMA: BIRU. LALU: MERAH.,ĐẦU TIÊN: XANH. SAU ĐÓ: ĐỎ.,ก่อน: น้ำเงิน แล้ว: แดง,最初: 青。次に: 赤。,먼저: 파랑. 다음: 빨강.,先点蓝色，再点红色。,先點藍色，再點紅色。
RULE_WORD,TAP THE WORD, NOT THE COLOR,TOCA LA PALABRA, NO EL COLOR,TOQUE A PALAVRA, NÃO A COR,TOUCHEZ LE MOT, PAS LA COULEUR,TIPPEN SIE DAS WORT, NICHT DIE FARBE,TOCCA LA PAROLA, NON IL COLORE,НАЖМИ НА СЛОВО, А НЕ НА ЦВЕТ,НАТИСНИ СЛОВО, А НЕ КОЛІР,KLIKNIJ SŁOWO, NIE KOLOR,RENGE DEĞİL, KELİMEYE DOKUN,TIK HET WOORD, NIET DE KLEUR,اضغط الكلمة، وليس اللون,לחץ על המילה, לא על הצבע,शब्द पर टैप करें, रंग पर नहीं,KETUK KATA, BUKAN WARNA,CHẠM VÀO TỪ, KHÔNG PHẢI MÀU,แตะคำ ไม่ใช่สี,文字をタップ、色ではない,단어를 누르세요. 색이 아닙니다,点击文字，不是颜色,點擊文字，不是顏色
RULE_LARGEST_WRONG,THE LARGEST SHAPE IS WRONG,LA FORMA MÁS GRANDE ES INCORRECTA,A MAIOR FORMA ESTÁ ERRADA,LA PLUS GRANDE FORME EST FAUSSE,DIE GRÖSSTE FORM IST FALSCH,LA FORMA PIÙ GRANDE È SBAGLIATA,САМАЯ БОЛЬШАЯ ФИГУРА НЕВЕРНА,НАЙБІЛЬША ФІГУРА НЕПРАВИЛЬНА,NAJWIĘKSZY KSZTAŁT JEST BŁĘDNY,EN BÜYÜK ŞEKİL YANLIŞ,DE GROOTSTE VORM IS FOUT,أكبر شكل خاطئ,הצורה הגדולה ביותר שגויה,सबसे बड़ी आकृति गलत है,BENTUK TERBESAR SALAH,HÌNH LỚN NHẤT LÀ SAI,รูปที่ใหญ่ที่สุดผิด,一番大きい形は間違い,가장 큰 모양은 틀렸습니다,最大的形状是错误的,最大的形狀是錯的
RULE_SPEED,FIND THE OBJECT MOVING DIFFERENTLY,ENCUENTRA EL OBJETO QUE SE MUEVE DIFERENTE,ENCONTRE O OBJETO QUE SE MOVE DIFERENTE,TROUVEZ L'OBJET QUI BOUGE DIFFÉREMMENT,FINDEN SIE DAS ANDERS BEWEGTE OBJEKT,TROVA L'OGGETTO CHE SI MUOVE DIVERSAMENTE,НАЙДИ ОБЪЕКТ КОТОРЫЙ ДВИГАЕТСЯ ИНАЧЕ,ЗНАЙДИ ОБ'ЄКТ ЯКИЙ РУХАЄТЬСЯ ІНАКШЕ,ZNAJDŹ OBIEKT PORUSZAJĄCY SIĘ INACZEJ,FARKLI HAREKET EDEN NESNEYİ BUL,VIND HET OBJECT DAT ANDERS BEWEEGT,اعثر على الجسم الذي يتحرك بشكل مختلف,מצא את האובייקט שנע אחרת,अलग चलती वस्तु खोजें,TEMUKAN OBJEK YANG BERGERAK BERBEDA,TÌM VẬT THỂ DI CHUYỂN KHÁC,หาวัตถุที่เคลื่อนไหวต่างกัน,違う動きをする物体を見つけて,다르게 움직이는 물체 찾기,找到移动方式不同的物体,找出移動方式不同的物體
