keys,en,es,pt_BR,fr,de,it,ru,uk,pl,tr,nl,ar,he,hi,id,vi,th,ja,ko,zh,zh_TW
TRICK_SLOWEST,CHOOSE THE SLOWEST,ELEGIR EL MÁS LENTO,ESCOLHA O MAIS LENTO,CHOISISSEZ LE PLUS LENT,WÄHLE DAS LANGSAMSTE,SCEGLI IL PIÙ LENTO,ВЫБЕРИ САМЫЙ МЕДЛЕННЫЙ,ОБЕРИ НАЙПОВІЛЬНІШЕ,NAJPOWOLNIEJSZY,EN YAVAŞI SEÇ,KIES DE LANGZAAMSTE,اختر الأبطأ,בחר את האיטי ביותר,सबसे धीमा चुनें,PILIH YANG PALING LAMBAT,CHỌN CÁI CHẬM NHẤT,เลือกอันที่ช้าที่สุด,最も遅いものを選ぶ,가장 느린 것 선택,选择最慢的,選擇最慢的
TRICK_DECOY,DECOY,SEÑUELO,ISCA,LEURRE,KÖDER,ESCA,ПРИМАНКА,ПРИМАНКА,PRZYNĘTA,SAHTE HEDEF,LOKAAS,طُعم,פיתיון,छलावा,UMPAN,MỒI NHỬ,ตัวล่อ,おとり,미끼,诱饵,誘餌
TRICK_MISLEAD,MISLEAD,DESPISTAR,DESORIENTAR,INDUIRE EN ERREUR,IRREFÜHREN,DEPISTARE,ВВЕСТИ В ЗАБЛУЖДЕНИЕ,ВВЕСТИ В ОМАНУ,WPROWADŹ W BŁĄD,YANILT,OP HET VERKEERDE SPOOR ZETTEN,تضليل,مضلل,भटकाना,MENYESATKAN,LÀM LẠC HƯỚNG,ทำให้เข้าใจผิด,惑わせる,혼란시키기,误导,誤導
TRICK_EXCEPTION,EXCEPTION,EXCEPCIÓN,EXCEÇÃO,EXCEPTION,AUSNAHME,ECCEZIONE,ИСКЛЮЧЕНИЕ,ВИНЯТОК,WYJĄTEK,İSTİSNA,UITZONDERING,استثناء,חריג,अपवाद,PENGECUALIAN,NGOẠI LỆ,ข้อยกเว้น,例外,예외,例外,例外
TRICK_WRONG_LABEL,WRONG LABEL,ETIQUETA INCORRECTA,RÓTULO INCORRETO,MAUVAISE ÉTIQUETTE,FALSCHE BESCHRIFTUNG,ETICHETTA ERRATA,НЕВЕРНАЯ МЕТКА,НЕПРАВИЛЬНА МІТКА,BŁĘDNA ETYKIETA,YANLIŞ ETİKET,VERKEERD LABEL,تسمية خاطئة,תווית שגויה,गलत लेबल,LABEL SALAH,NHÃN SAI,ป้ายผิด,間違ったラベル,잘못된 라벨,错误标签,錯誤標籤
TRICK_LATEST,LATEST RULE,ÚLTIMA REGLA,REGRA MAIS RECENTE,DÈNIÈRE RÈGLE,NEUESTE REGEL,ULTIMA REGOLA,ПОСЛЕДНЕЕ ПРАВИЛО,ОСТАННЄ ПРАВИЛО,NAJNOWSZA ZASADA,SON KURAL,NIEUWSTE REGEL,أحدث قاعدة,القاعدة الأحدث,नवीनतम नियम,ATURAN TERBARU,LUẬT MỚI NHẤT,กฎล่าสุด,最新ルール,최신 규칙,最新规则,最新規則
TRICK_CHOOSE,CHOOSE,ELIGE,ESCOLHA,CHOISISSEZ,WÄHLE,W SCEGLIERE,ВЫБЕРИ,ОБЕРИ,WYBIERZ,SEÇ,KIES,اختر,בחר,चुनें,PILIH,CHỌN,เลือก,選ぶ,선택,选择,選擇
TRICK_CHOOSE_TARGET,CHOOSE THE TARGET,ELIGE EL OBJETIVO,ESCOLHA O ALVO,CHOISISSEZ LA CIBLE,WÄHLE DAS ZIEL,SCEGLI IL BERSAGLIO,ВЫБЕРИ ЦЕЛЬ,ОБЕРИ ЦІЛЬ,WYBIERZ CEL,HEDEFİ SEÇ,KIES HET DOEL,اختر الهدف,בחר את המטרה,लक्ष्य चुनें,PILIH TARGET,CHỌN MỤC TIÊU,เลือกเป้าหมาย,ターゲットを選ぶ,대상을 선택,选择目标,選擇目標
TRICK_LATEST_RULE,FOLLOW THE LATEST RULE,SIGUE LA ÚLTIMA REGLA,SIGA A REGRA MAIS RECENTE,SUIVEZ LA DERNIÈRE RÈGLE,FOLGE DER NEUESTEN REGEL,SEGUI L'ULTIMA REGOLA,СЛЕДУЙ ПОСЛЕДНЕМУ ПРАВИЛУ,ДОТРИМУЙСЯ ОСТАННЬОГО ПРАВИЛА,STOSUJ NAJNOWSZĄ ZASADĘ,SON KURALA UY, VOLG DE NIEUWSTE REGEL,اتبع أحدث قاعدة,פעל לפי הכלל האחרון,नवीनतम नियम का पालन करें,IKUTI ATURAN TERBARU,THEO LUẬT MỚI NHẤT,ทำตามกฎล่าสุด,最新ルールに従う,최신 규칙 따르기,遵循最新规则,遵循最新規則
TRICK_CHOOSE_EXCEPTION,CHOOSE THE EXCEPTION,ELIGE LA EXCEPCIÓN,ESCOLHA A EXCEÇÃO,CHOISISSEZ L'EXCEPTION,WÄHLE DIE AUSNAHME,SCEGLI L'ECCEZIONE,ВЫБЕРИ ИСКЛЮЧЕНИЕ,ОБЕРИ ВИНЯТОК,WYBIERZ WYJĄTEK,İSTİSNAYI SEÇ,KIES DE UITZONDERING,اختر الاستثناء,בחר את החריג,अपवाद चुनें,PILIH PENGECUALIAN,CHỌN NGOẠI LỆ,เลือกข้อยกเว้น,例外を選ぶ,예외를 선택,选择例外,選擇例外
